gender,age,location,purchase_amount,down_payment,installment_amount,installments,payment_status,product_category,merchant_name,customer_income,credit_score,late_payments,fraud_flag
Male,33,Sheffield,1462.06,167.0,177.87,1,Missed,Home,eBay,2554.81,371,2,0
Other,28,Leeds,842.93,72.07,117.19,2,Missed,Home,Amazon,4656.38,411,1,0
Other,45,Sheffield,781.59,244.76,210.26,8,Paid,Electronics,Zara,5317.14,799,0,0
Male,63,Manchester,1007.49,159.57,268.36,1,Missed,Home,Currys,4290.49,754,1,0
Female,51,London,1915.33,362.62,30.25,11,Missed,Sports,Tesco,2233.52,453,0,0
Male,49,Sheffield,1083.42,407.34,282.75,8,Paid,Groceries,Tesco,3152.21,833,1,0
Male,55,Leeds,1546.13,123.63,199.88,8,Paid,Fashion,Argos,6378.28,578,2,0
Other,61,Birmingham,78.14,258.67,223.41,8,Missed,Home,Tesco,8170.8,649,0,0
Female,51,Manchester,1705.58,83.81,217.13,3,Paid,Home,Asda,9318.62,562,1,0
Other,21,London,1610.48,381.57,113.01,2,Missed,Home,eBay,9357.78,628,1,0
Other,21,Sheffield,1689.22,108.03,282.39,3,Missed,Beauty,Asda,2565.52,786,2,0
Female,46,Manchester,1829.54,293.25,294.68,7,Ongoing,Groceries,Asda,6876.95,553,1,0
Male,25,Manchester,128.86,498.56,160.47,11,Ongoing,Electronics,Argos,4023.86,802,1,0
Female,29,Leeds,633.5,459.39,128.5,11,Ongoing,Groceries,Nike,3862.26,801,3,0
Other,52,Sheffield,562.3,356.42,269.1,10,Ongoing,Groceries,Currys,2683.94,707,1,0
Other,29,Birmingham,1310.41,326.49,28.28,10,Ongoing,Fashion,Zara,8648.87,379,0,0
Male,30,Birmingham,1051.82,258.49,45.07,7,Ongoing,Groceries,Tesco,6198.17,701,1,0
Male,19,London,693.02,281.07,177.56,2,Missed,Sports,Argos,1530.88,519,0,0
Other,35,Birmingham,1121.75,130.83,212.05,5,Missed,Groceries,Zara,3355.75,804,1,0
Other,41,Sheffield,254.82,230.53,176.64,8,Ongoing,Beauty,eBay,3098.67,479,1,0
Female,44,Liverpool,1391.48,251.69,71.74,5,Paid,Beauty,eBay,1590.32,408,1,0
Male,25,Glasgow,1719.29,119.93,14.68,11,Missed,Groceries,Nike,2100.96,364,1,0
Other,22,Leeds,1195.58,444.05,57.57,11,Ongoing,Electronics,Zara,8301.94,748,0,0
Female,34,London,339.52,191.91,152.41,1,Paid,Fashion,Asda,2469.39,457,1,0
Male,39,Birmingham,1500.06,74.56,17.6,6,Ongoing,Groceries,Nike,6022.6,549,0,0
Female,64,Birmingham,1166.23,421.37,127.45,9,Paid,Electronics,eBay,5334.13,645,2,0
Other,35,Sheffield,1795.01,448.31,186.76,6,Missed,Sports,Currys,1920.84,750,2,0
Male,54,London,1727.84,304.4,67.94,7,Ongoing,Home,eBay,7858.98,848,0,0
Other,21,Glasgow,1433.24,409.77,33.23,1,Missed,Electronics,Zara,8961.86,811,0,0
Female,44,Birmingham,1798.13,442.11,278.84,11,Paid,Home,Tesco,5688.04,498,2,0
Other,53,Sheffield,854.03,215.09,295.74,4,Paid,Groceries,eBay,4435.83,715,2,0
Other,34,Birmingham,1403.64,407.62,256.79,4,Paid,Beauty,eBay,1594.46,347,3,0
Male,18,Manchester,150.14,478.53,116.1,9,Paid,Electronics,Zara,8233.67,701,0,0
Male,60,Glasgow,835.22,370.82,31.32,7,Paid,Fashion,eBay,7720.57,608,1,0
Male,62,Glasgow,635.36,145.69,222.52,4,Ongoing,Home,Asda,2156.95,342,1,0
Male,20,Glasgow,1051.27,108.0,96.36,7,Paid,Home,Argos,6516.7,458,2,0
Male,40,Birmingham,395.29,334.34,28.56,3,Paid,Beauty,Nike,2878.69,306,1,0
Female,33,London,1038.75,335.0,24.64,6,Paid,Fashion,Argos,8958.01,545,5,0
Other,35,Liverpool,1493.42,52.54,76.25,6,Ongoing,Electronics,Tesco,5344.43,345,2,1
Other,59,Manchester,754.67,320.43,239.09,5,Missed,Sports,Amazon,6132.53,713,1,0
